chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,label
0.4268566,0.0872298,0.1676281,0.005362125,3436.043791625285,243772.1839250065,3028.3902608775043,57295.506840328046,7213.7058668870195,1105514.667863994,0.18065003779289493,0.1480156016383206,3.358584e-05,0.010827227,-1.5397605e-06,0.012436824,107.666015625,pop
0.32945052,0.08351347,0.14848885,0.00043043584,1516.764034855672,97952.30193884743,1634.907895186348,51352.27904368501,2991.044734074519,482773.6594777488,0.0746334089191232,0.06906326319223415,3.1200938e-07,0.014506205,2.6514874e-05,0.002567168,129.19921875,rock
0.2669341,0.092753306,0.112598225,0.0013903672,1764.3269890960812,392906.038871715,2093.780121846958,123375.21355504563,3882.850623497596,1873936.6253156282,0.057838246409674984,0.0544929836619287,5.081873e-05,0.010160719,2.3881692e-05,0.0018006581,75.99954044117646,rock
0.44740784,0.07241166,0.16948394,0.0017835974,2693.812254859613,251653.04348403975,2712.887103221004,65689.33054656808,5594.2433518629805,1263966.5667432651,0.1310808767951625,0.11389868053377394,3.0632902e-05,0.015277654,5.0686078e-05,0.0065470114,117.45383522727273,rock
0.2941507,0.08877601,0.15128808,0.0036305247,3632.166397010002,901404.0474421282,3697.012410767689,121717.30937467354,8715.398324819711,2389874.2619774397,0.11516250944822373,0.10190010586581152,-0.00013949996,0.015621689,-9.23014e-05,0.006390089,66.25600961538461,pop
0.38012734,0.07544445,0.17027174,0.0018215243,3341.936750833256,231444.376161681,3001.7469472342186,51691.722924238624,7094.693509615385,727476.1804421274,0.17191232048374905,0.14235847454964176,0.0008643088,0.014682699,0.0016214874,0.0076616225,117.45383522727273,rock
0.52167004,0.08135727,0.17258677,0.0028856213,3830.9299513903034,1025182.6855174014,3189.629018749532,77607.80754065751,7799.574631911058,1574521.1196483593,0.20852607709750567,0.16504295226783078,-3.1911884e-05,0.008381189,-0.00016685543,0.013248454,123.046875,disco
0.46090695,0.06917643,0.16638653,0.0031309952,2542.8964601191365,244293.7731801502,2340.2407237778293,103260.589430053,5137.822265625,1473060.2266733462,0.1380498866213152,0.11899211542515721,-8.300037e-05,0.010825693,6.132122e-05,0.010702567,112.34714673913044,disco
0.44696116,0.08398404,0.20502922,0.00787731,3503.2787839605935,875801.2769304581,3293.6424994905456,133439.5326312352,7806.117412860577,2636691.7620433155,0.163718820861678,0.1369149685573398,1.1147545e-05,0.01702623,9.371161e-05,0.017560195,107.666015625,pop
0.3159422,0.09163679,0.059050877,0.00025100968,1953.9165027344607,731701.4199057256,2599.5082165798344,213959.81808353204,4241.875375600962,4825680.398629121,0.06677248677248677,0.06231392178270485,-7.738436e-06,0.0029387418,-4.7313588e-05,0.0002852011,107.666015625,pop
